responseTime,ProlificId,ProlificID,SubjectId,SubjectID,study_key,source,demo_age,demo_country,demo_native_language,demo_other_languages,demo_other_languages_parsed,demo_exposure_pcts,demo_exposure_total_pct,demo_read_pcts,demo_read_total_pct,demo_speak_pcts,demo_speak_total_pct,demo_formal_education_years,demo_years_current_institution,demo_highest_education,demo_native_speaking,demo_native_understanding,demo_native_reading,cambridge_item,cambridge_selected,cambridge_correct_answer,cambridge_item_correct,cambridge_score,cambridge_max,cambridge_cefr,onestop_level_pair,onestop_level_block_order,onestop_level_assignment_rule,onestop_reading_article_count,onestop_reading_trial_count,onestop_article_selection_mode,onestop_manual_article_numbers,recordType,Experiment,Condition,onestop_level,onestop_article_number,onestop_paragraph_number,ItemId,presentation_order,Index,Word,mousePositionX,mousePositionY,sampleTimeMs,wordPositionTop,wordPositionLeft,wordPositionBottom,wordPositionRight,line_number,position_in_line,revealMode,clickDurationMs,hoverDurationMs,relativeXInWord,relativeYInWord,totalWordsInItem,response,response_correct,onestop_block_level,onestop_paragraph_index,device,hand,prolific_pid,prolific_study_id,prolific_session_id,experiment_start_time,ParticipantId,experiment_end_time,experiment_duration,glb_ProlificId,glb_ProlificID,glb_SubjectId,glb_SubjectID,glb_study_key
16028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,1,ele,9,5,15,16,51, UK ,839,242,638544.5,229.2734375,822.65625,249.7734375,852.6640625,4,12,,,,,,,,,elementary,5,,,,,,,,,,,,,,
16078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,1,ele,9,5,15,16,51, UK ,851,242,638594.5,229.2734375,822.65625,249.7734375,852.6640625,4,12,,,,,,,,,elementary,5,,,,,,,,,,,,,,
16083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover_association,2,1,ele,9,5,15,16,51, UK ,826,242,,219.5234375,822.65625,259.5234375,852.6640625,4,12,hover,117.60000002384186,117.60000002384186,0.9445456912262432,0.5619140625,54,,,elementary,5,,,,,,,,,,,,,,
16128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,1,ele,9,5,15,16,52, is ,861,243,638644.6000000238,229.2734375,852.6640625,249.7734375,870.6640625,4,13,,,,,,,,,elementary,5,,,,,,,,,,,,,,
16167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover_association,2,1,ele,9,5,15,16,52, is ,854,242,,219.5234375,852.6640625,259.5234375,870.6640625,4,13,hover,83.39999997615814,83.39999997615814,0.8519965277777778,0.6119140625,54,,,elementary,5,,,,,,,,,,,,,,
16179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,1,ele,9,5,15,16,53, about ,873,244,638694.7000000477,229.2734375,870.6640625,249.7734375,920.7109375,4,14,,,,,,,,,elementary,5,,,,,,,,,,,,,,
16228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,1,ele,9,5,15,16,53, about ,888,246,638744.6000000238,229.2734375,870.6640625,249.7734375,920.7109375,4,14,,,,,,,,,elementary,5,,,,,,,,,,,,,,
16279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,1,ele,9,5,15,16,53, about ,906,247,638794.8999999762,229.2734375,870.6640625,249.7734375,920.7109375,4,14,,,,,,,,,elementary,5,,,,,,,,,,,,,,
16317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover_association,2,1,ele,9,5,15,16,53, about ,873,244,,219.5234375,870.6640625,259.5234375,920.7109375,4,14,hover,149.90000009536743,149.90000009536743,0.9857945675928816,0.6869140625,54,,,elementary,5,,,,,,,,,,,,,,
16329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,1,ele,9,5,15,16,54," 100,000. ",925,247,638844.8999999762,229.2734375,920.7109375,249.7734375,990.78125,4,15,,,,,,,,,elementary,5,,,,,,,,,,,,,,
16378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,1,ele,9,5,15,16,54," 100,000. ",939,246,638894.1000000238,229.2734375,920.7109375,249.7734375,990.78125,4,15,,,,,,,,,elementary,5,,,,,,,,,,,,,,
16428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,1,ele,9,5,15,16,54," 100,000. ",944,245,638944.7000000477,229.2734375,920.7109375,249.7734375,990.78125,4,15,,,,,,,,,elementary,5,,,,,,,,,,,,,,
16479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,1,ele,9,5,15,16,54," 100,000. ",946,245,638995.5,229.2734375,920.7109375,249.7734375,990.78125,4,15,,,,,,,,,elementary,5,,,,,,,,,,,,,,
16529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,1,ele,9,5,15,16,54," 100,000. ",946,245,639045.2000000477,229.2734375,920.7109375,249.7734375,990.78125,4,15,,,,,,,,,elementary,5,,,,,,,,,,,,,,
16578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,1,ele,9,5,15,16,54," 100,000. ",946,245,639094.7999999523,229.2734375,920.7109375,249.7734375,990.78125,4,15,,,,,,,,,elementary,5,,,,,,,,,,,,,,
16628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,1,ele,9,5,15,16,54," 100,000. ",946,245,639144.5,229.2734375,920.7109375,249.7734375,990.78125,4,15,,,,,,,,,elementary,5,,,,,,,,,,,,,,
16678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,1,ele,9,5,15,16,54," 100,000. ",944,246,639194.7000000477,229.2734375,920.7109375,249.7734375,990.78125,4,15,,,,,,,,,elementary,5,,,,,,,,,,,,,,
16726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover_association,2,1,ele,9,5,15,16,54," 100,000. ",925,247,,219.5234375,920.7109375,259.5234375,993.98359375,4,15,hover,409.89999997615814,409.89999997615814,0.01759268144451909,0.8619140625,54,,,elementary,5,,,,,,,,,,,,,,
16728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,1,ele,9,5,15,16,53, about ,910,258,639244.7000000477,229.2734375,870.6640625,249.7734375,920.7109375,4,14,,,,,,,,,elementary,5,,,,,,,,,,,,,,
16743,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover_association,2,1,ele,9,5,15,16,53, about ,910,258,,219.5234375,870.6640625,259.5234375,920.7109375,4,14,hover,16.5,16.5,0.7859818919762722,0.9619140625,54,,,elementary,5,,,,,,,,,,,,,,
16778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,1,ele,9,5,15,16,-1,999,871,270,639294.7000000477,,,,,,,,,,,,,,,elementary,5,,,,,,,,,,,,,,
16828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,1,ele,9,5,15,16,-1,999,871,270,639344.7999999523,,,,,,,,,,,,,,,elementary,5,,,,,,,,,,,,,,
16878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,1,ele,9,5,15,16,-1,999,871,270,639394.7000000477,,,,,,,,,,,,,,,elementary,5,,,,,,,,,,,,,,
16928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,1,ele,9,5,15,16,-1,999,871,270,639444.8999999762,,,,,,,,,,,,,,,elementary,5,,,,,,,,,,,,,,
16978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,1,ele,9,5,15,16,-1,999,871,270,639494.6000000238,,,,,,,,,,,,,,,elementary,5,,,,,,,,,,,,,,
17029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,1,ele,9,5,15,16,-1,999,871,270,639545.3999999762,,,,,,,,,,,,,,,elementary,5,,,,,,,,,,,,,,
17078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,1,ele,9,5,15,16,-1,999,871,270,639595.1000000238,,,,,,,,,,,,,,,elementary,5,,,,,,,,,,,,,,
17128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,1,ele,9,5,15,16,-1,999,871,270,639645.1000000238,,,,,,,,,,,,,,,elementary,5,,,,,,,,,,,,,,
17179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,1,ele,9,5,15,16,-1,999,871,270,639695.3999999762,,,,,,,,,,,,,,,elementary,5,,,,,,,,,,,,,,
17229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,1,ele,9,5,15,16,-1,999,871,270,639745.7999999523,,,,,,,,,,,,,,,elementary,5,,,,,,,,,,,,,,
19192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ele,9,5,15,,,,,,,,,,,,,,,,,,,"about 100,000",0,,,,,,,,,,,,,,,,
19192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"about 100,000",,,,,,,,,,,,,,,,,
2353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,1,ele,9,6,16,17,-1,999,355,101,644595.1000000238,,,,,,,,,,,,,,,elementary,6,,,,,,,,,,,,,,
578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,1,ele,9,6,16,17,-1,999,382,112,644644,,,,,,,,,,,,,,,elementary,6,,,,,,,,,,,,,,
628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,1,ele,9,6,16,17,1, Other ,401,116,644694,109.2734375,400.375,129.7734375,450.3984375,1,1,,,,,,,,,elementary,6,,,,,,,,,,,,,,
679,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,1,ele,9,6,16,17,1, Other ,413,117,644744.7000000477,109.2734375,400.375,129.7734375,450.3984375,1,1,,,,,,,,,elementary,6,,,,,,,,,,,,,,
729,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,1,ele,9,6,16,17,1, Other ,418,119,644794.3999999762,109.2734375,400.375,129.7734375,450.3984375,1,1,,,,,,,,,elementary,6,,,,,,,,,,,,,,
778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,1,ele,9,6,16,17,1, Other ,419,119,644844.2000000477,109.2734375,400.375,129.7734375,450.3984375,1,1,,,,,,,,,elementary,6,,,,,,,,,,,,,,
830,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,1,ele,9,6,16,17,1, Other ,419,119,644895.6000000238,109.2734375,400.375,129.7734375,450.3984375,1,1,,,,,,,,,elementary,6,,,,,,,,,,,,,,
879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,1,ele,9,6,16,17,1, Other ,419,119,644944.6000000238,109.2734375,400.375,129.7734375,450.3984375,1,1,,,,,,,,,elementary,6,,,,,,,,,,,,,,
929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,1,ele,9,6,16,17,1, Other ,419,119,644995.2000000477,109.2734375,400.375,129.7734375,450.3984375,1,1,,,,,,,,,elementary,6,,,,,,,,,,,,,,
980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,1,ele,9,6,16,17,1, Other ,419,119,645045.8999999762,109.2734375,400.375,129.7734375,450.3984375,1,1,,,,,,,,,elementary,6,,,,,,,,,,,,,,
1028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,1,ele,9,6,16,17,1, Other ,420,119,645094.2000000477,109.2734375,400.375,129.7734375,450.3984375,1,1,,,,,,,,,elementary,6,,,,,,,,,,,,,,
1079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,1,ele,9,6,16,17,1, Other ,444,120,645145,109.2734375,400.375,129.7734375,450.3984375,1,1,,,,,,,,,elementary,6,,,,,,,,,,,,,,
1083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover_association,2,1,ele,9,6,16,17,1, Other ,401,116,,99.5234375,396.80189732142856,139.5234375,450.3984375,1,1,hover,466.60000002384186,466.60000002384186,0.8806184600968296,0.5119140625,77,,,elementary,6,,,,,,,,,,,,,,
1129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,1,ele,9,6,16,17,2, car ,478,124,645194.7999999523,109.2734375,450.3984375,129.7734375,480.40625,1,2,,,,,,,,,elementary,6,,,,,,,,,,,,,,
1134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover_association,2,1,ele,9,6,16,17,2, car ,454,121,,99.5234375,450.3984375,139.5234375,480.40625,1,2,hover,51.10000002384186,51.10000002384186,0.9198125488154126,0.6119140625,77,,,elementary,6,,,,,,,,,,,,,,
1179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,1,ele,9,6,16,17,3," makers, ",505,125,645244.8999999762,109.2734375,480.40625,129.7734375,549.421875,1,3,,,,,,,,,elementary,6,,,,,,,,,,,,,,
1229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,1,ele,9,6,16,17,3," makers, ",531,130,645295,109.2734375,480.40625,129.7734375,549.421875,1,3,,,,,,,,,elementary,6,,,,,,,,,,,,,,
1267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover_association,2,1,ele,9,6,16,17,3," makers, ",488,124,,99.5234375,480.40625,139.5234375,549.421875,1,3,hover,133.19999992847443,133.19999992847443,0.9938872537921666,0.8619140625,77,,,elementary,6,,,,,,,,,,,,,,
1279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,1,ele,9,6,16,17,4, including ,557,135,645344.7999999523,109.2734375,549.421875,129.7734375,625.4765625,1,4,,,,,,,,,elementary,6,,,,,,,,,,,,,,
1329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,1,ele,9,6,16,17,4, including ,573,137,645395,109.2734375,549.421875,129.7734375,625.4765625,1,4,,,,,,,,,elementary,6,,,,,,,,,,,,,,
1379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,1,ele,9,6,16,17,4, including ,588,138,645444.8999999762,109.2734375,549.421875,129.7734375,625.4765625,1,4,,,,,,,,,elementary,6,,,,,,,,,,,,,,
1430,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,1,ele,9,6,16,17,4, including ,591,138,645495.7999999523,109.2734375,549.421875,129.7734375,625.4765625,1,4,,,,,,,,,elementary,6,,,,,,,,,,,,,,
1479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,1,ele,9,6,16,17,4, including ,591,138,645545.3999999762,109.2734375,549.421875,129.7734375,625.4765625,1,4,,,,,,,,,elementary,6,,,,,,,,,,,,,,
1529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,1,ele,9,6,16,17,4, including ,591,138,645595.6000000238,109.2734375,549.421875,129.7734375,625.4765625,1,4,,,,,,,,,elementary,6,,,,,,,,,,,,,,
1579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,1,ele,9,6,16,17,4, including ,591,138,645645.1000000238,109.2734375,549.421875,129.7734375,625.4765625,1,4,,,,,,,,,elementary,6,,,,,,,,,,,,,,
1629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,1,ele,9,6,16,17,4, including ,591,138,645695.7000000477,109.2734375,549.421875,129.7734375,625.4765625,1,4,,,,,,,,,elementary,6,,,,,,,,,,,,,,
1679,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,1,ele,9,6,16,17,4, including ,592,138,645744.7999999523,109.2734375,549.421875,129.7734375,625.4765625,1,4,,,,,,,,,elementary,6,,,,,,,,,,,,,,
1729,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,1,ele,9,6,16,17,4, including ,616,137,645795,109.2734375,549.421875,129.7734375,625.4765625,1,4,,,,,,,,,elementary,6,,,,,,,,,,,,,,
1732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover_association,2,1,ele,9,6,16,17,4, including ,557,135,,99.5234375,549.421875,139.5234375,625.4765625,1,4,hover,465.60000002384186,465.60000002384186,0.8753980482794043,0.9369140625,77,,,elementary,6,,,,,,,,,,,,,,
1779,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,1,ele,9,6,16,17,5," Volvo, ",645,135,645845.2000000477,109.2734375,625.4765625,129.7734375,679.5234375,1,5,,,,,,,,,elementary,6,,,,,,,,,,,,,,
1829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,1,ele,9,6,16,17,5," Volvo, ",664,134,645894.8999999762,109.2734375,625.4765625,129.7734375,679.5234375,1,5,,,,,,,,,elementary,6,,,,,,,,,,,,,,
1867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover_association,2,1,ele,9,6,16,17,5," Volvo, ",627,136,,99.5234375,625.4765625,139.5234375,679.5234375,1,5,hover,134.30000007152557,134.30000007152557,0.9348077479040185,0.8619140625,77,,,elementary,6,,,,,,,,,,,,,,
1878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,1,ele,9,6,16,17,6, Ford ,681,134,645944.6000000238,109.2734375,679.5234375,129.7734375,721.5390625,1,6,,,,,,,,,elementary,6,,,,,,,,,,,,,,
1929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,1,ele,9,6,16,17,6, Ford ,704,135,645994.7999999523,109.2734375,679.5234375,129.7734375,721.5390625,1,6,,,,,,,,,elementary,6,,,,,,,,,,,,,,
1967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover_association,2,1,ele,9,6,16,17,6, Ford ,681,134,,99.5234375,679.5234375,139.5234375,721.5390625,1,6,hover,100,100,0.9871699516548903,0.8869140625,77,,,elementary,6,,,,,,,,,,,,,,
1979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,1,ele,9,6,16,17,7, and ,729,135,646044.8999999762,109.2734375,721.5390625,129.7734375,756.578125,1,7,,,,,,,,,elementary,6,,,,,,,,,,,,,,
2029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,1,ele,9,6,16,17,7, and ,748,134,646095.1000000238,109.2734375,721.5390625,129.7734375,756.578125,1,7,,,,,,,,,elementary,6,,,,,,,,,,,,,,
2049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover_association,2,1,ele,9,6,16,17,7, and ,729,135,,99.5234375,721.5390625,139.5234375,756.578125,1,7,hover,82.39999997615814,82.39999997615814,0.9264214046822743,0.8619140625,77,,,elementary,6,,,,,,,,,,,,,,
2079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,1,ele,9,6,16,17,8," Mercedes, ",763,132,646145,109.2734375,756.578125,129.7734375,845.6171875,1,8,,,,,,,,,elementary,6,,,,,,,,,,,,,,
2128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,1,ele,9,6,16,17,8," Mercedes, ",771,130,646194.5,109.2734375,756.578125,129.7734375,845.6171875,1,8,,,,,,,,,elementary,6,,,,,,,,,,,,,,
2178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,1,ele,9,6,16,17,8," Mercedes, ",777,129,646244.7000000477,109.2734375,756.578125,129.7734375,845.6171875,1,8,,,,,,,,,elementary,6,,,,,,,,,,,,,,
2228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,1,ele,9,6,16,17,8," Mercedes, ",785,129,646294.5,109.2734375,756.578125,129.7734375,845.6171875,1,8,,,,,,,,,elementary,6,,,,,,,,,,,,,,
2278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,1,ele,9,6,16,17,8," Mercedes, ",801,129,646344.5,109.2734375,756.578125,129.7734375,845.6171875,1,8,,,,,,,,,elementary,6,,,,,,,,,,,,,,
2328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,1,ele,9,6,16,17,8," Mercedes, ",831,129,646394.5,109.2734375,756.578125,129.7734375,845.6171875,1,8,,,,,,,,,elementary,6,,,,,,,,,,,,,,
2367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover_association,2,1,ele,9,6,16,17,8," Mercedes, ",759,133,,99.5234375,756.578125,139.5234375,845.6171875,1,8,hover,317.60000002384186,317.60000002384186,0.993068351320523,0.7369140625,77,,,elementary,6,,,,,,,,,,,,,,
2378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,1,ele,9,6,16,17,9, are ,849,129,646444.5,109.2734375,845.6171875,129.7734375,876.640625,1,9,,,,,,,,,elementary,6,,,,,,,,,,,,,,
2428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,1,ele,9,6,16,17,9, are ,854,129,646494.5,109.2734375,845.6171875,129.7734375,876.640625,1,9,,,,,,,,,elementary,6,,,,,,,,,,,,,,
2479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,1,ele,9,6,16,17,9, are ,855,129,646545.5,109.2734375,845.6171875,129.7734375,876.640625,1,9,,,,,,,,,elementary,6,,,,,,,,,,,,,,
2529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,1,ele,9,6,16,17,9, are ,855,129,646595.6000000238,109.2734375,845.6171875,129.7734375,876.640625,1,9,,,,,,,,,elementary,6,,,,,,,,,,,,,,
2579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,1,ele,9,6,16,17,9, are ,855,129,646645.5,109.2734375,845.6171875,129.7734375,876.640625,1,9,,,,,,,,,elementary,6,,,,,,,,,,,,,,
2629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,1,ele,9,6,16,17,9, are ,855,129,646695.6000000238,109.2734375,845.6171875,129.7734375,876.640625,1,9,,,,,,,,,elementary,6,,,,,,,,,,,,,,
2679,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,1,ele,9,6,16,17,9, are ,855,129,646745.3999999762,109.2734375,845.6171875,129.7734375,876.640625,1,9,,,,,,,,,elementary,6,,,,,,,,,,,,,,
2729,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,1,ele,9,6,16,17,9, are ,855,129,646795.7000000477,109.2734375,845.6171875,129.7734375,876.640625,1,9,,,,,,,,,elementary,6,,,,,,,,,,,,,,
2778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,1,ele,9,6,16,17,9, are ,855,129,646844.5,109.2734375,845.6171875,129.7734375,876.640625,1,9,,,,,,,,,elementary,6,,,,,,,,,,,,,,
2827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,1,ele,9,6,16,17,9, are ,859,129,646893.8999999762,109.2734375,845.6171875,129.7734375,876.640625,1,9,,,,,,,,,elementary,6,,,,,,,,,,,,,,
2850,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover_association,2,1,ele,9,6,16,17,9, are ,849,129,,99.5234375,845.6171875,139.5234375,876.640625,1,9,hover,483.59999990463257,483.59999990463257,0.8826492067489298,0.7119140625,77,,,elementary,6,,,,,,,,,,,,,,
2878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,1,ele,9,6,16,17,10, going ,900,127,646944.5,109.2734375,876.640625,129.7734375,925.6875,1,10,,,,,,,,,elementary,6,,,,,,,,,,,,,,
2900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover_association,2,1,ele,9,6,16,17,10, going ,884,128,,99.5234375,876.640625,139.5234375,925.6875,1,10,hover,49.800000071525574,49.800000071525574,0.7617075501752151,0.6869140625,77,,,elementary,6,,,,,,,,,,,,,,
2927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,1,ele,9,6,16,17,11, to ,938,127,646994,109.2734375,925.6875,129.7734375,945.703125,1,11,,,,,,,,,elementary,6,,,,,,,,,,,,,,
2933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover_association,2,1,ele,9,6,16,17,11, to ,927,127,,99.5234375,925.6875,139.5234375,945.703125,1,11,hover,33.299999952316284,33.299999952316284,0.615144418423107,0.6869140625,77,,,elementary,6,,,,,,,,,,,,,,
2978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,1,ele,9,6,16,17,12, make ,961,127,647044.7999999523,109.2734375,945.703125,129.7734375,994.7265625,1,12,,,,,,,,,elementary,6,,,,,,,,,,,,,,
3028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,1,ele,9,6,16,17,12, make ,977,127,647094.6000000238,109.2734375,945.703125,129.7734375,994.7265625,1,12,,,,,,,,,elementary,6,,,,,,,,,,,,,,
3078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,1,ele,9,6,16,17,12, make ,988,125,647144.6000000238,109.2734375,945.703125,129.7734375,994.7265625,1,12,,,,,,,,,elementary,6,,,,,,,,,,,,,,
3128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,1,ele,9,6,16,17,12, make ,992,124,647194.5,109.2734375,945.703125,129.7734375,994.7265625,1,12,,,,,,,,,elementary,6,,,,,,,,,,,,,,
3150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover_association,2,1,ele,9,6,16,17,12, make ,946,127,,99.5234375,945.703125,139.5234375,994.7265625,1,12,hover,216.60000002384186,216.60000002384186,0.9851792828685259,0.5869140625,77,,,elementary,6,,,,,,,,,,,,,,
3178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,1,ele,9,6,16,17,13, vehicles ,997,122,647244.6000000238,109.2734375,994.7265625,129.7734375,1059.7578125,1,13,,,,,,,,,elementary,6,,,,,,,,,,,,,,
